lon;lat;Model1;Model2;Model3;GSMaP
112,88 ;4,63 ;2,81;2,36;1,22;0
112,88 ;4,75 ;3,09;1,94;0,97;0
112,88 ;4,88 ;2,16;1,72;0,61;0
112,88 ;5,00 ;1,94;1,69;0,5;0
112,88 ;5,13 ;1,94;1,67;0,72;0
112,88 ;5,25 ;2,44;1,91;1,05;0
112,88 ;5,38 ;2,47;1,39;1,25;0
112,88 ;5,50 ;2,94;1,33;1,44;0
112,88 ;5,63 ;2,84;1,27;1,45;0
112,88 ;5,75 ;1,94;1,3;1,73;0
112,88 ;5,88 ;1,38;1,86;2,34;0
112,88 ;6,00 ;1,69;1,56;2,73;0
112,88 ;6,13 ;1,47;1,41;3,25;0
112,88 ;6,25 ;2,12;1,91;3,17;0
112,88 ;6,38 ;2,59;2,69;2,98;0
112,88 ;6,50 ;3;2,25;3,89;0
112,88 ;6,63 ;2,78;1,47;4,75;0
112,88 ;6,75 ;3,5;1,67;4,84;0
112,88 ;6,88 ;4,44;1,7;4,61;0
112,88 ;7,00 ;4;2,88;4,89;0
112,88 ;7,13 ;4,16;1,84;4,95;0
112,88 ;7,25 ;4,88;1,67;4,36;0
112,88 ;7,38 ;5,25;1,69;3,28;0
112,88 ;7,50 ;4,53;1,89;3;0
112,88 ;7,63 ;3,94;2,59;2,75;0
112,88 ;7,75 ;2,75;2,52;2,36;0
112,88 ;7,88 ;2,66;2,56;2,2;0
112,88 ;8,00 ;2,84;2,69;2,72;0
112,88 ;8,13 ;2,41;1,77;2,84;0
112,88 ;8,25 ;2,5;2,05;3,3;0
112,88 ;8,38 ;2,97;2,09;3,61;0
112,88 ;8,50 ;3,19;1,72;3,17;0
112,88 ;8,63 ;3,88;1,27;2,56;0
112,88 ;8,75 ;4,44;1,69;1,59;0
112,88 ;8,88 ;4,5;1,38;1,14;0
112,88 ;9,00 ;5,28;1,25;1,02;0
112,88 ;9,13 ;5,59;1,23;0,77;0
112,88 ;9,25 ;4,97;1,44;0,69;0
112,88 ;9,38 ;5;0,78;0,81;0
112,88 ;9,50 ;5,19;0,62;1,03;0
112,88 ;9,63 ;4,78;0,86;1,06;0
112,88 ;9,75 ;4,44;0,8;1,27;0
112,88 ;9,88 ;4,06;0,92;1,27;0
112,88 ;10,00 ;4,09;1,23;1;0
113,00 ;-10,00 ;1,12;1;0,56;0
113,00 ;-9,88 ;0,91;0,7;0,34;0
113,00 ;-9,75 ;0,97;0,94;0,42;0
113,00 ;-9,63 ;0,16;0,39;0,36;0
113,00 ;-9,50 ;0;0,03;0,27;0
113,00 ;-9,38 ;0;0;0,3;0
113,00 ;-9,25 ;0;0;0,03;0
113,00 ;-9,13 ;0;0;0,02;0
113,00 ;-9,00 ;0;0;0,02;0
113,00 ;-8,88 ;0;0,06;0,11;0
113,00 ;-8,75 ;0,09;0,06;0,61;0
113,00 ;-8,63 ;0,09;0,03;0,06;0
113,00 ;-8,50 ;0,66;0,73;0,38;0
113,00 ;-8,38 ;1,72;0,2;0,39;0
113,00 ;-8,25 ;0,34;0,45;1,2;0
113,00 ;-8,13 ;3,34;2,17;4,48;0,24
113,00 ;-8,00 ;3,16;3,47;9,25;0,72
113,00 ;-7,88 ;8,72;21,28;32,09;0
113,00 ;-7,75 ;0,81;1,2;3,23;0
113,00 ;-7,63 ;0,12;0,08;0,17;0
113,00 ;-7,50 ;1,31;0,67;1,86;0
113,00 ;-7,38 ;1,16;1,33;4,52;0
113,00 ;-7,25 ;1,25;4;5,92;0
113,00 ;-7,13 ;0,88;1,94;1,97;0,48
113,00 ;-7,00 ;2,16;1,95;3,09;0,48
113,00 ;-6,88 ;0,59;3,66;4,48;0,24
113,00 ;-6,75 ;1,28;3,52;4,39;0
113,00 ;-6,63 ;2,47;5,75;6,28;0,72
113,00 ;-6,50 ;2,56;4,55;5,36;0,72
113,00 ;-6,38 ;4,78;4,72;5,66;0,24
113,00 ;-6,25 ;4,19;4,14;6,44;0
113,00 ;-6,13 ;3,69;3,22;5,44;0
113,00 ;-6,00 ;4,25;2,86;5,28;0
113,00 ;-5,88 ;3,62;1,97;4,14;0
113,00 ;-5,75 ;2,72;1,89;3,33;0
113,00 ;-5,63 ;2,66;1,62;3,52;0
113,00 ;-5,50 ;2,22;1,75;3,19;0
113,00 ;-5,38 ;1,88;1,16;2,62;0
113,00 ;-5,25 ;0,88;0,95;2,03;0
113,00 ;-5,13 ;0,66;0,94;1,77;0
113,00 ;-5,00 ;1,12;0,61;2,2;0
113,00 ;-4,88 ;0,72;0,45;2,05;0
113,00 ;-4,75 ;0,88;0,33;1,66;0
113,00 ;-4,63 ;1,19;0,34;0,77;0
113,00 ;-4,50 ;1,19;0,52;0,78;0
113,00 ;-4,38 ;0,84;0,5;0,86;0
113,00 ;-4,25 ;1,03;0,33;0,84;0
113,00 ;-4,13 ;0,75;0,38;1,36;0
113,00 ;-4,00 ;0,94;0,48;1,44;0
113,00 ;-3,88 ;1,12;0,62;1,17;0
113,00 ;-3,75 ;0,81;0,75;1,62;0
113,00 ;-3,63 ;1,56;1,45;2,11;0
113,00 ;-3,50 ;1,28;2,81;2,48;0
113,00 ;-3,38 ;2,53;4,05;1,66;0
113,00 ;-3,25 ;2,97;5,94;2,12;0
113,00 ;-3,13 ;2,28;5,19;2,53;0
113,00 ;-3,00 ;0,66;2,77;2,58;0
113,00 ;-2,88 ;0,97;2,91;5,62;0
113,00 ;-2,75 ;1,56;2,77;7,86;1,44
113,00 ;-2,63 ;2,69;1,86;8,62;1,44
113,00 ;-2,50 ;5,19;1,94;5,83;0,24
113,00 ;-2,38 ;2,34;2,09;4,61;0
113,00 ;-2,25 ;2,5;2,27;4,66;0
113,00 ;-2,13 ;5,12;2,23;3,16;0
113,00 ;-2,00 ;5,12;1,95;5,72;0
113,00 ;-1,88 ;5,31;1,66;4,97;0
113,00 ;-1,75 ;5,56;2,64;5,94;0
113,00 ;-1,63 ;4,88;3,62;6,16;0
113,00 ;-1,50 ;6,06;3,7;4,08;0
113,00 ;-1,38 ;6,19;6,72;4,55;0
113,00 ;-1,25 ;4,62;8,48;7,81;0
113,00 ;-1,13 ;7,44;8,36;4,78;0
113,00 ;-1,00 ;12,56;10,31;8,94;0
113,00 ;-0,88 ;12,47;8,38;6,75;0
113,00 ;-0,75 ;10,03;3,47;2,89;0,24
113,00 ;-0,63 ;2,47;2,83;3,06;0,96
113,00 ;-0,50 ;6,25;3,52;2,55;3,84
113,00 ;-0,38 ;6,44;3,34;2,39;2,4
113,00 ;-0,25 ;4,72;5,94;4,23;1,2
113,00 ;-0,13 ;13,56;5,16;4,89;2,4
113,00 ;0,00 ;10,78;5,66;4,47;8,4
113,00 ;0,13 ;7,09;6,39;6,2;8,4
113,00 ;0,25 ;8,59;4,98;8,72;6,72
113,00 ;0,38 ;4,78;1,69;3,61;11,04
113,00 ;0,50 ;7,72;5,59;5,25;9,84
113,00 ;0,63 ;6,94;6,92;6,53;6,24
113,00 ;0,75 ;5,47;12,95;6,77;3,36
113,00 ;0,88 ;13,34;10,27;10,92;0,48
113,00 ;1,00 ;12,31;13,69;8,78;0
113,00 ;1,13 ;9,47;13,78;10,92;0
113,00 ;1,25 ;6,78;13,08;8,09;0
113,00 ;1,38 ;9,88;9,03;5,8;0
113,00 ;1,50 ;9,06;7,28;5,92;0
113,00 ;1,63 ;3,97;10,09;8,02;0
113,00 ;1,75 ;7,03;12,53;12,75;0
113,00 ;1,88 ;8,69;8,75;15,36;0
113,00 ;2,00 ;11,94;7,39;3,06;0
113,00 ;2,13 ;29,25;12,55;11,22;0
113,00 ;2,25 ;9,38;7,02;3,22;0
113,00 ;2,38 ;3,78;5,75;5,14;0
113,00 ;2,50 ;2,66;8,39;8,94;0
113,00 ;2,63 ;2,09;9,03;5,91;0
113,00 ;2,75 ;2,16;3,94;4,91;0
113,00 ;2,88 ;1,62;1,8;4,16;0
113,00 ;3,00 ;0,97;2,14;7,31;0
113,00 ;3,13 ;0,66;1,86;1,48;0
113,00 ;3,25 ;0,84;3,33;0,11;0
113,00 ;3,38 ;5,53;4,64;3,22;0
113,00 ;3,50 ;5,19;3,48;1,62;0
113,00 ;3,63 ;4,31;2,7;0,97;0
113,00 ;3,75 ;2,72;2,38;0,84;0
113,00 ;3,88 ;3,59;1,94;1,06;0
113,00 ;4,00 ;3,53;1,88;1,05;0
113,00 ;4,13 ;4,03;2,09;1,11;0
113,00 ;4,25 ;4,44;2,05;0,92;0
113,00 ;4,38 ;3,88;2,34;0,97;0
113,00 ;4,50 ;4,62;2,2;1,53;0
113,00 ;4,63 ;3,28;2,38;1,75;0
113,00 ;4,75 ;3,09;1,83;1,89;0
113,00 ;4,88 ;2,5;1,41;1,2;0
113,00 ;5,00 ;2;1,52;0,78;0
113,00 ;5,13 ;2,12;1,7;0,73;0
113,00 ;5,25 ;2,41;1,66;1,45;0
113,00 ;5,38 ;2,78;1,25;1,19;0
113,00 ;5,50 ;2,91;0,95;1,19;0
113,00 ;5,63 ;2,75;1,23;1,28;0
113,00 ;5,75 ;2,28;1,14;1,64;0
113,00 ;5,88 ;1,34;1,19;1,95;0
113,00 ;6,00 ;1,59;1,53;2,55;0
113,00 ;6,13 ;1,69;1,8;3,59;0
113,00 ;6,25 ;2,03;1,67;3,36;0
113,00 ;6,38 ;2,38;2,14;3,11;0
113,00 ;6,50 ;2,56;1,69;3,73;0
113,00 ;6,63 ;3,09;1,22;4,42;0
113,00 ;6,75 ;3,5;1,45;4,66;0
113,00 ;6,88 ;4,25;1,66;4,83;0
113,00 ;7,00 ;4,5;1,83;4,88;0
113,00 ;7,13 ;4,06;1,69;4,73;0
113,00 ;7,25 ;5,03;1,89;4,56;0
113,00 ;7,38 ;5,16;1,84;3,66;0
113,00 ;7,50 ;3,78;1,14;3,38;0
113,00 ;7,63 ;3,31;2,27;3,5;0
113,00 ;7,75 ;3,28;2,47;3,36;0
113,00 ;7,88 ;2,47;1,83;3,31;0
113,00 ;8,00 ;2,75;2,34;4,22;0
113,00 ;8,13 ;2,84;2,06;4,69;0
113,00 ;8,25 ;2,47;1,45;3,97;0
113,00 ;8,38 ;1,97;1,31;3,91;0
113,00 ;8,50 ;2,91;1,45;3,14;0
113,00 ;8,63 ;3,09;1,31;1,98;0
113,00 ;8,75 ;4,34;1,2;1,27;0
113,00 ;8,88 ;5,09;1,23;0,84;0
113,00 ;9,00 ;5,22;1,05;0,69;0
113,00 ;9,13 ;5,09;1,06;0,52;0
113,00 ;9,25 ;4,53;0,8;0,36;0
113,00 ;9,38 ;4,59;0,34;0,7;0
113,00 ;9,50 ;4,5;0,62;1;0
113,00 ;9,63 ;4,25;0,95;0,94;0
113,00 ;9,75 ;4,16;0,86;0,91;0
113,00 ;9,88 ;3,5;0,81;1,02;0
113,00 ;10,00 ;3,19;0,81;0,95;0
113,13 ;-10,00 ;0,88;0,95;0,48;0
113,13 ;-9,88 ;0,69;0,72;0,19;0
113,13 ;-9,75 ;0,59;0,72;0,3;0
113,13 ;-9,63 ;0,12;0,23;0,16;0
113,13 ;-9,50 ;0;0,02;0,16;0
113,13 ;-9,38 ;0;0;0,14;0
113,13 ;-9,25 ;0;0;0,02;0
113,13 ;-9,13 ;0,03;0;0;0
113,13 ;-9,00 ;0;0,02;0;0
113,13 ;-8,88 ;0;0,05;0,06;0
113,13 ;-8,75 ;0;0,02;0,11;0
113,13 ;-8,63 ;0;0,2;0,14;0
113,13 ;-8,50 ;0,62;0,14;0,19;0
113,13 ;-8,38 ;1,38;0,11;0,2;0
113,13 ;-8,25 ;0,53;0,73;0,48;0
113,13 ;-8,13 ;2,44;1,7;1,08;0
113,13 ;-8,00 ;3,16;5,56;3,41;0
113,13 ;-7,88 ;2,97;6,58;6,06;0
113,13 ;-7,75 ;0,19;1,08;1,77;0
113,13 ;-7,63 ;0,41;0,36;0,66;0
113,13 ;-7,50 ;1,22;0,69;0,59;0
113,13 ;-7,38 ;0,62;1,86;1,19;0
113,13 ;-7,25 ;0,97;1,48;1,33;0,72
113,13 ;-7,13 ;0,62;1,69;1,5;1,92
113,13 ;-7,00 ;2,03;3,27;2,7;6
113,13 ;-6,88 ;1,19;3,38;4,05;1,92
113,13 ;-6,75 ;1,25;3,28;3,39;0
113,13 ;-6,63 ;1,88;4,2;5,03;0,48
113,13 ;-6,50 ;2,75;4,64;5,08;1,44
113,13 ;-6,38 ;3,84;4,55;5,61;0,48
113,13 ;-6,25 ;4,19;3,78;5,5;0
113,13 ;-6,13 ;4,31;3,5;4,2;0
113,13 ;-6,00 ;4,09;3,33;4,19;0
113,13 ;-5,88 ;3,69;2,08;3,19;0
113,13 ;-5,75 ;2,75;1,39;3,33;0
113,13 ;-5,63 ;2,28;0,98;3,56;0
113,13 ;-5,50 ;1,84;1,11;2,62;0
113,13 ;-5,38 ;1,22;1;2,61;0
113,13 ;-5,25 ;0,84;0,91;2,39;0
113,13 ;-5,13 ;0,72;0,86;1,73;0
113,13 ;-5,00 ;0,88;0,69;2,23;0
113,13 ;-4,88 ;0,69;0,45;1,7;0
113,13 ;-4,75 ;0,66;0,42;1,22;0
113,13 ;-4,63 ;1;0,47;0,97;0
113,13 ;-4,50 ;0,84;0,25;0,77;0
113,13 ;-4,38 ;1;0,42;1;0
113,13 ;-4,25 ;0,97;0,33;1,14;0
113,13 ;-4,13 ;0,84;0,31;1,09;0
113,13 ;-4,00 ;0,66;0,56;1,06;0
113,13 ;-3,88 ;1;0,5;1,23;0
113,13 ;-3,75 ;0,88;0,73;1,28;0
113,13 ;-3,63 ;0,97;1,2;1,39;0
113,13 ;-3,50 ;1,22;1,81;1,67;0
113,13 ;-3,38 ;1,75;2,88;1,45;0
113,13 ;-3,25 ;2,78;4,98;1,66;0
113,13 ;-3,13 ;0,75;5,45;1,09;0
113,13 ;-3,00 ;1,06;2,62;2,11;0
113,13 ;-2,88 ;4,69;3,47;7,48;1,68
113,13 ;-2,75 ;7,34;2,56;9,45;1,68
113,13 ;-2,63 ;7,31;2,05;8,11;1,92
113,13 ;-2,50 ;4,31;1,48;4,5;0,24
113,13 ;-2,38 ;2,84;2,41;6,5;0,24
113,13 ;-2,25 ;2,91;4,03;8,06;0,48
113,13 ;-2,13 ;3,47;1,67;4,08;0
113,13 ;-2,00 ;2,47;0,91;3,98;0
113,13 ;-1,88 ;2,81;2,58;1,88;0
113,13 ;-1,75 ;6,5;2,78;1,73;0
113,13 ;-1,63 ;7,56;3,77;4,94;0
113,13 ;-1,50 ;5,44;3,19;2,48;0
113,13 ;-1,38 ;5,75;4,69;3,33;0
113,13 ;-1,25 ;6,5;8,09;4,16;0
113,13 ;-1,13 ;5,94;8,7;6,42;0
113,13 ;-1,00 ;6,12;8,19;7,36;0
113,13 ;-0,88 ;11,19;5,39;6,72;0
113,13 ;-0,75 ;8,38;4,89;5,03;0,24
113,13 ;-0,63 ;10,59;5,78;9,28;0,72
113,13 ;-0,50 ;10,34;5,17;6,45;2,16
113,13 ;-0,38 ;4,56;3,66;3,31;1,68
113,13 ;-0,25 ;4,78;5,22;4,78;1,44
113,13 ;-0,13 ;6,41;4,72;3,42;2,64
113,13 ;0,00 ;10,84;5,42;4,98;7,44
113,13 ;0,13 ;9,75;4,12;5,86;9,6
113,13 ;0,25 ;5,28;4,12;10,8;8,88
113,13 ;0,38 ;3,94;2,31;3,47;10,08
113,13 ;0,50 ;9,06;4,94;4,98;7,68
113,13 ;0,63 ;8,56;7,28;5,84;5,04
113,13 ;0,75 ;6,81;8,67;3,7;2,64
113,13 ;0,88 ;10,53;11,17;7,8;0,96
113,13 ;1,00 ;8,69;13,12;5,66;0
113,13 ;1,13 ;4,12;12,52;6,41;0
113,13 ;1,25 ;8,69;12,48;2,73;0
113,13 ;1,38 ;10,03;7,38;4,48;0
113,13 ;1,50 ;9,66;7,77;7,75;0
113,13 ;1,63 ;3,84;10,31;10,14;0
113,13 ;1,75 ;5,31;8,16;10,56;0
113,13 ;1,88 ;7,09;12,97;9,77;0
113,13 ;2,00 ;18,88;13,19;5,14;0
113,13 ;2,13 ;21,56;14,98;5,84;0
113,13 ;2,25 ;4,22;8,69;3,88;0
113,13 ;2,38 ;3,84;9,7;6,28;0
113,13 ;2,50 ;4,28;16,19;7,55;0
113,13 ;2,63 ;2,12;8,86;5,34;0
113,13 ;2,75 ;1,91;7,2;2,75;0
113,13 ;2,88 ;1,12;1,94;5,77;0
113,13 ;3,00 ;1,03;2,19;6,59;0
113,13 ;3,13 ;0,69;1,12;3,62;0
113,13 ;3,25 ;1,03;1,3;0,28;0
113,13 ;3,38 ;0,91;1,94;0,22;0
113,13 ;3,50 ;4,34;3,48;2,08;0
113,13 ;3,63 ;6,03;3,11;2,27;0
113,13 ;3,75 ;3,47;2,58;1,27;0
113,13 ;3,88 ;3,62;2,09;1,02;0
113,13 ;4,00 ;4,34;1,55;1,47;0
113,13 ;4,13 ;4,25;1,7;1,64;0
113,13 ;4,25 ;4,69;1,59;1,39;0
113,13 ;4,38 ;3,81;1,56;1,03;0,24
113,13 ;4,50 ;4,75;2,03;1,44;0
113,13 ;4,63 ;3,94;1,92;1,23;0
113,13 ;4,75 ;3,69;1,94;1,38;0
113,13 ;4,88 ;3,44;2,11;1,59;0
113,13 ;5,00 ;2,56;2;0,97;0
113,13 ;5,13 ;1,97;1,64;0,69;0
113,13 ;5,25 ;2,5;1,3;1,36;0
113,13 ;5,38 ;2,41;1,12;0,89;0
113,13 ;5,50 ;2,47;0,78;1,22;0
113,13 ;5,63 ;3,09;1,09;0,95;0
113,13 ;5,75 ;2,84;1,22;1,66;0
113,13 ;5,88 ;2,16;1,17;2,02;0
113,13 ;6,00 ;1,78;1,3;2,62;0
113,13 ;6,13 ;1,81;1,5;2,86;0
113,13 ;6,25 ;2,31;1,59;3,08;0
113,13 ;6,38 ;2,38;1,62;2,94;0
113,13 ;6,50 ;2,5;1,44;3,8;0
113,13 ;6,63 ;2,81;1,44;3,94;0
113,13 ;6,75 ;3;1,39;3,95;0
113,13 ;6,88 ;3,25;1,27;3,77;0
113,13 ;7,00 ;3,41;2,05;4,11;0
113,13 ;7,13 ;3,72;1,83;4,56;0
113,13 ;7,25 ;4,41;1,48;3,81;0
113,13 ;7,38 ;5,09;1,58;3,66;0
113,13 ;7,50 ;3,66;1,44;4,03;0
113,13 ;7,63 ;3,62;1,48;3,73;0
113,13 ;7,75 ;3,38;2,09;3,88;0
113,13 ;7,88 ;1,91;2,03;4,27;0
113,13 ;8,00 ;2,44;1,58;5,28;0
113,13 ;8,13 ;2,81;1,5;4,88;0
113,13 ;8,25 ;2,5;1,42;4,14;0
113,13 ;8,38 ;1,78;1,19;3,72;0
113,13 ;8,50 ;2,06;1,56;2,59;0
113,13 ;8,63 ;2,62;1,47;1,95;0
113,13 ;8,75 ;3,56;1,33;1,64;0
113,13 ;8,88 ;4,78;0,88;1,06;0
113,13 ;9,00 ;4,72;0,77;0,66;0
113,13 ;9,13 ;4,41;0,73;0,58;0
113,13 ;9,25 ;4,19;0,75;0,34;0
113,13 ;9,38 ;4,16;0,66;0,52;0
113,13 ;9,50 ;3,91;1;0,64;0
113,13 ;9,63 ;3,38;0,81;0,95;0
113,13 ;9,75 ;3,5;0,91;0,92;0
113,13 ;9,88 ;3,31;0,86;1,11;0
113,13 ;10,00 ;3,12;0,67;1;0
113,25 ;-10,00 ;0,72;0,92;0,38;0
113,25 ;-9,88 ;0,75;0,53;0,19;0
113,25 ;-9,75 ;0,19;0,44;0,16;0
113,25 ;-9,63 ;0,19;0,12;0,17;0
113,25 ;-9,50 ;0;0;0,17;0
113,25 ;-9,38 ;0;0;0,11;0
113,25 ;-9,25 ;0;0,02;0;0
113,25 ;-9,13 ;0;0;0;0
113,25 ;-9,00 ;0;0;0;0
113,25 ;-8,88 ;0;0,05;0,05;0
113,25 ;-8,75 ;0;0,03;0,17;0
113,25 ;-8,63 ;0,09;0,27;0,19;0
113,25 ;-8,50 ;0,22;0,08;0,2;0
113,25 ;-8,38 ;0,72;0,06;0,08;0
113,25 ;-8,25 ;1,94;1,11;1,11;0
113,25 ;-8,13 ;2,88;0,67;1,64;0
113,25 ;-8,00 ;1,28;1,39;2,41;0
113,25 ;-7,88 ;0,59;1,22;2,77;0
113,25 ;-7,75 ;1,53;1,28;2,5;0
113,25 ;-7,63 ;4,78;2,64;1,17;0
113,25 ;-7,50 ;1,94;1,58;1,19;0
113,25 ;-7,38 ;1,09;4,41;2,23;0
113,25 ;-7,25 ;1,28;1,88;2,33;4,56
113,25 ;-7,13 ;2,22;1,14;1,53;8,4
113,25 ;-7,00 ;5,75;3,44;4,27;7,2
113,25 ;-6,88 ;2,47;2,86;5,8;2,16
113,25 ;-6,75 ;2,94;3,72;3,41;0
113,25 ;-6,63 ;1,62;3,12;4,2;0
113,25 ;-6,50 ;2,72;3,94;6,73;0,48
113,25 ;-6,38 ;3,75;4,5;4,44;0,48
113,25 ;-6,25 ;3,66;3,75;3,97;0
113,25 ;-6,13 ;3,75;2,67;4,38;0
113,25 ;-6,00 ;3,72;2,7;3,69;0
113,25 ;-5,88 ;3,66;2,33;3,38;0
113,25 ;-5,75 ;2,56;1,12;2,86;0
113,25 ;-5,63 ;2,22;0,7;2,55;0
113,25 ;-5,50 ;1,94;0,92;2,34;0
113,25 ;-5,38 ;0,94;0,66;1,88;0
113,25 ;-5,25 ;0,81;0,73;1,94;0
113,25 ;-5,13 ;0,62;0,88;1,75;0
113,25 ;-5,00 ;1,12;0,62;1,98;0
113,25 ;-4,88 ;0,62;0,42;1,97;0
113,25 ;-4,75 ;1;0,3;1,17;0
113,25 ;-4,63 ;1,25;0,33;1,05;0
113,25 ;-4,50 ;1,12;0,25;1;0
113,25 ;-4,38 ;1,12;0,17;0,94;0
113,25 ;-4,25 ;0,84;0,23;1,11;0
113,25 ;-4,13 ;0,94;0,17;1,12;0
113,25 ;-4,00 ;0,66;0,39;1,16;0
113,25 ;-3,88 ;0,75;0,47;1,34;0
113,25 ;-3,75 ;0,66;0,44;1,36;0
113,25 ;-3,63 ;0,91;1,27;1,33;0
113,25 ;-3,50 ;1,16;1,66;1,86;0
113,25 ;-3,38 ;1,75;2,09;1,38;0
113,25 ;-3,25 ;1,72;4,27;2,67;0
113,25 ;-3,13 ;0,5;1,31;1,98;0
113,25 ;-3,00 ;3,72;3,88;4,19;0
113,25 ;-2,88 ;5,19;3,48;6,84;1,2
113,25 ;-2,75 ;6,72;1,72;6,55;1,44
113,25 ;-2,63 ;4,47;1,41;4,27;1,68
113,25 ;-2,50 ;3,81;1,12;2,12;0,72
113,25 ;-2,38 ;1,91;2,36;5,84;1,2
113,25 ;-2,25 ;3;2,56;6,47;0,96
113,25 ;-2,13 ;4,72;2,36;5,2;0,24
113,25 ;-2,00 ;3,16;2,05;6,56;0
113,25 ;-1,88 ;3,66;2,83;7,55;0
113,25 ;-1,75 ;5,81;2,42;7,66;0
113,25 ;-1,63 ;9,03;2,56;6,36;0
113,25 ;-1,50 ;5,66;3,25;3,52;0
113,25 ;-1,38 ;3,31;4,41;7,62;0
113,25 ;-1,25 ;7,56;7,22;7,05;0
113,25 ;-1,13 ;8,25;6,36;5,33;0
113,25 ;-1,00 ;9,28;11;5,12;0
113,25 ;-0,88 ;6,53;8,28;6,47;0
113,25 ;-0,75 ;10;5,7;2,27;0
113,25 ;-0,63 ;12,91;8,03;6,05;0,24
113,25 ;-0,50 ;4,28;4,28;5,73;1,68
113,25 ;-0,38 ;5,97;2,7;4,2;1,2
113,25 ;-0,25 ;8,41;6,69;5,02;1,2
113,25 ;-0,13 ;6,53;6,05;4,86;3,12
113,25 ;0,00 ;12,53;6,25;3,94;8,64
113,25 ;0,13 ;9,94;5,27;8,81;10,8
113,25 ;0,25 ;10,34;6,58;23,83;9,84
113,25 ;0,38 ;2,81;5,55;6,16;9,84
113,25 ;0,50 ;7,19;10,56;6,31;7,44
113,25 ;0,63 ;8,16;10,61;8,72;5,76
113,25 ;0,75 ;6,84;12,64;3,67;3,12
113,25 ;0,88 ;8,66;17,58;5,95;0
113,25 ;1,00 ;9,97;17,06;3,56;0
113,25 ;1,13 ;7,12;13,45;3,92;0
113,25 ;1,25 ;7,03;12,33;4,86;0
113,25 ;1,38 ;7,34;7,58;2,86;0
113,25 ;1,50 ;5,47;11,36;11,33;0
113,25 ;1,63 ;5,72;12,09;6,84;0
113,25 ;1,75 ;6,88;11,52;10,97;0
113,25 ;1,88 ;6,12;16,53;10,17;0
113,25 ;2,00 ;12,47;12,67;8,05;0
113,25 ;2,13 ;5,81;10,78;7,09;0
113,25 ;2,25 ;2,25;8,91;3,67;0
113,25 ;2,38 ;4,75;10,27;5,58;0
113,25 ;2,50 ;4,69;14,12;4,95;0
113,25 ;2,63 ;3,41;10,39;5,03;0
113,25 ;2,75 ;1,97;7,81;3,84;0
113,25 ;2,88 ;0,75;3,25;4,73;0
113,25 ;3,00 ;0,78;2,22;3,23;0
113,25 ;3,13 ;0,59;0,83;4,69;0
113,25 ;3,25 ;0,62;1,42;0,5;0
113,25 ;3,38 ;1,56;1,52;0,41;0
113,25 ;3,50 ;1,19;1,34;0,08;0
113,25 ;3,63 ;4,66;3,61;1,66;0
113,25 ;3,75 ;5,03;2,61;2,25;0
113,25 ;3,88 ;4,44;2,03;0,78;0
113,25 ;4,00 ;4,56;1,56;1,17;0
113,25 ;4,13 ;3,91;1,45;2,11;0
113,25 ;4,25 ;4,66;1,19;2,48;0
113,25 ;4,38 ;4,38;1,62;2,25;0,24
113,25 ;4,50 ;4,47;1,94;1,89;0
113,25 ;4,63 ;4,41;1,97;1,31;0
113,25 ;4,75 ;4,22;1,7;1,19;0
113,25 ;4,88 ;3,34;1,56;1,31;0
113,25 ;5,00 ;2,44;1,58;1,36;0
113,25 ;5,13 ;2,06;1,89;0,98;0
113,25 ;5,25 ;2,5;1,41;0,92;0
113,25 ;5,38 ;2,59;0,94;0,67;0
113,25 ;5,50 ;2,28;1,08;1,17;0
113,25 ;5,63 ;3,03;1,11;1,16;0
113,25 ;5,75 ;2,66;1,27;1,33;0
113,25 ;5,88 ;2,53;1,02;1,58;0
113,25 ;6,00 ;1,44;1,17;2,23;0
113,25 ;6,13 ;1,78;1,27;2,47;0
113,25 ;6,25 ;2,22;1,47;2,78;0
113,25 ;6,38 ;2,34;1,78;3,25;0
113,25 ;6,50 ;2,72;1,86;2,92;0
113,25 ;6,63 ;2,25;1,72;3,23;0
113,25 ;6,75 ;2,69;1,59;3,58;0
113,25 ;6,88 ;1,78;1,55;3,38;0
113,25 ;7,00 ;2,38;2,05;3,8;0
113,25 ;7,13 ;2,62;1,48;3,75;0
113,25 ;7,25 ;3,06;1,31;3,52;0
113,25 ;7,38 ;3,78;1,14;3,16;0
113,25 ;7,50 ;3,59;1,17;3,52;0
113,25 ;7,63 ;3,69;1,14;3,88;0
113,25 ;7,75 ;3,34;1,58;3,84;0
113,25 ;7,88 ;2,22;2,11;4,3;0
113,25 ;8,00 ;2,69;1,41;4,2;0
113,25 ;8,13 ;2,41;1,09;3,28;0
113,25 ;8,25 ;1,94;1,09;3,41;0
113,25 ;8,38 ;1,5;1,06;2,94;0
113,25 ;8,50 ;1,91;1,02;2,2;0
113,25 ;8,63 ;2,22;0,98;2,36;0
113,25 ;8,75 ;2,44;1,11;1,64;0
113,25 ;8,88 ;3,66;0,77;1,55;0
113,25 ;9,00 ;4,16;0,91;1,02;0
113,25 ;9,13 ;3,69;0,8;0,64;0
113,25 ;9,25 ;3,56;0,64;0,5;0
113,25 ;9,38 ;3,81;0,47;0,55;0
113,25 ;9,50 ;3,47;0,55;0,86;0
113,25 ;9,63 ;3,44;0,72;0,81;0
113,25 ;9,75 ;3,19;0,75;0,89;0
113,25 ;9,88 ;2,78;0,7;0,86;0
