lon;lat;Model1;Model2;Model3;GSMaP
90,13 ;8,00 ;1,69;5,89;1,39;16,32
90,13 ;8,13 ;2,09;4,44;1,14;7,68
90,13 ;8,25 ;1,78;2,89;0,69;3,12
90,13 ;8,38 ;1,78;4,94;0,66;0,72
90,13 ;8,50 ;1,94;4,08;0,67;0,24
90,13 ;8,63 ;1,16;3,08;0,52;0
90,13 ;8,75 ;1,12;3,89;0,47;0
90,13 ;8,88 ;0,59;2,09;0,25;0
90,13 ;9,00 ;0,69;1,52;0,28;0
90,13 ;9,13 ;0,69;1,42;0,16;0
90,13 ;9,25 ;0,5;2,06;0,09;0
90,13 ;9,38 ;0,97;1,7;0,08;0
90,13 ;9,50 ;0,75;0,88;0,06;0
90,13 ;9,63 ;0,53;0,7;0,11;0
90,13 ;9,75 ;0,47;0,86;0,06;0
90,13 ;9,88 ;0,53;0,19;0,12;0
90,13 ;10,00 ;0,44;0,19;0,09;0
90,25 ;-10,00 ;16,84;10,73;13,11;78,48
90,25 ;-9,88 ;16,28;10,27;14,41;81,36
90,25 ;-9,75 ;17;10,89;15,67;82,56
90,25 ;-9,63 ;18,28;10,91;15,69;78
90,25 ;-9,50 ;20,69;10,64;14,78;65,52
90,25 ;-9,38 ;20,62;11,14;14,66;55,92
90,25 ;-9,25 ;19,5;11,61;14,94;48,24
90,25 ;-9,13 ;19,34;10,47;14,2;40,8
90,25 ;-9,00 ;20,22;9,42;14,42;30,72
90,25 ;-8,88 ;20,12;8,77;19,39;33,6
90,25 ;-8,75 ;19,69;8,45;29,16;35,04
90,25 ;-8,63 ;18,19;9,12;41,39;58,08
90,25 ;-8,50 ;15,91;9,8;59,3;77,76
90,25 ;-8,38 ;15,69;11,47;69,83;87,6
90,25 ;-8,25 ;14,44;12,42;57,19;78,24
90,25 ;-8,13 ;14,5;16,22;31,02;62,16
90,25 ;-8,00 ;14,28;17,17;21,36;59,04
90,25 ;-7,88 ;15,94;17,8;18,52;71,52
90,25 ;-7,75 ;18,84;18,47;16,84;75,12
90,25 ;-7,63 ;18,06;18,58;16,75;75,36
90,25 ;-7,50 ;17,03;16,56;19,5;68,16
90,25 ;-7,38 ;16,03;15,42;22,11;62,16
90,25 ;-7,25 ;14,44;15,62;23,14;64,08
90,25 ;-7,13 ;14,84;16,61;24,28;69,6
90,25 ;-7,00 ;15,84;18,75;23;79,92
90,25 ;-6,88 ;17,72;19,31;22,09;83,04
